Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,MSS,CAN,10/100/1000 Ethernet,HS USB,Multi-Mode UART,RCOSC_50MHZ
vectorblox_mxp_0/dma_master/queue/Primitives,125,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/fsl_handler_inst/instr_fifo/Primitives,193,169,180,180,0,5,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/address_generation/Primitives,809,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/X/syscall/Primitives,481,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/X/alu/Primitives,269,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/Primitives,107,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0
riscV_axi_0/rv/D/register_file_1/Primitives,86,34,72,72,0,2,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/iram/ram/Primitives,32,0,144,144,0,0,4,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/scratchpad_memory/scratchpad_gen_3_xil_ram_gen_scratchpad_memory/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/scratchpad_memory/scratchpad_gen_1_xil_ram_gen_scratchpad_memory/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/alu_stage/absv_stage/Primitives,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axi_splitter_0/Primitives,212,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/accum_stage/Primitives,191,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/mult_word_gen.0.byte3_multiplier/Primitives,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/address_generation/instr_hazard_detection/Primitives,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORESPI_0/USPI/UCC/Primitives,164,125,0,0,0,0,0,0,0,1,0,0,0,0,0,0
vectorblox_mxp_0/core/address_generation/dma_hazard_detection/Primitives,419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CoreUARTapb_0/Primitives,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/arbiter/Primitives,82,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/scratchpad_memory/Primitives,254,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreAHBLite_0/matrix4x16/masterstage_0/Primitives,118,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fabric_master_0/Primitives,305,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/mult_word_gen.0.byte1_multiplier/Primitives,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/CoreAHBLite_0/matrix4x16/slavestage_1/slave_arbiter/Primitives,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/X/alu/oc/Primitives,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/mult_word_gen.0.word0_multiplier/Primitives,2,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/exec_stage/byte_mul_gen.multiplier_stage/Primitives,644,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/X/branch/Primitives,184,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_mss_top_0/my_mss_0/Primitives,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/dma_master/engine/Primitives,631,173,36,36,0,0,1,0,0,0,0,0,0,0,0,0
riscV_axi_0/rv/instr_fetch/Primitives,114,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riscV_axi_0/data_bus/Primitives,58,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vectorblox_mxp_0/core/Primitives,6,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
